Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Mexico,4556.00,4954.00,5071.00,3384.00,3858.00,4571.00,4719.00,5300.00,6308.00,6662.00,6860.00,6674.00,7113.00,7880.00,8666.00,9220.00,9579.00,7648.00,8851.00,9715.00,9703.00,10173.00
Philippines,902.00,904.00,1040.00,1176.00,1285.00,1249.00,967.00,1088.00,1040.00,958.00,1001.00,1011.00,1080.00,1197.00,1395.00,1679.00,1929.00,1837.00,2145.00,2372.00,2606.00,2788.00
China,415.00,516.00,464.00,598.00,698.00,771.00,820.00,865.00,952.00,1047.00,1144.00,1286.00,1504.00,1755.00,2097.00,2684.00,3441.00,3802.00,4478.00,5520.00,6250.00,6986.00
India,315.00,301.00,338.00,377.00,390.00,415.00,410.00,429.00,435.00,442.00,454.00,523.00,623.00,717.00,800.00,1002.00,1060.00,1080.00,1356.00,1517.00,1479.00,1513.00
Vietnam,139.00,182.00,220.00,276.00,323.00,347.00,347.00,361.00,388.00,403.00,428.00,478.00,593.00,684.00,781.00,903.00,1145.00,1212.00,1312.00,1517.00,1725.00,1874.00
Dominican Republic,1611.00,1793.00,1912.00,2098.00,2255.00,2514.00,2622.00,2713.00,2947.00,3007.00,3009.00,2384.00,2530.00,3861.00,4073.00,4596.00,4932.00,4903.00,5359.00,5787.00,5952.00,5952.00
South Korea,8009.00,8773.00,10275.00,12454.00,13301.00,12311.00,8207.00,10570.00,12155.00,11465.00,13022.00,14466.00,16164.00,18866.00,21122.00,23290.00,20660.00,18480.00,22296.00,24363.00,24649.00,26192.00
Cuba,2057.00,2072.00,2621.00,2790.00,2284.00,2306.00,2331.00,2560.00,2750.00,2841.00,3003.00,3201.00,3399.00,3787.00,4678.00,5194.00,5386.00,5495.00,5689.00,6139.00,6448.00,6790.00
El Salvador,1104.00,1270.00,1463.00,1700.00,1828.00,1956.00,2093.00,2158.00,2260.00,2363.00,2435.00,2550.00,2666.00,2874.00,3109.00,3358.00,3569.00,3431.00,3547.00,3821.00,3922.00,3999.00
Jamaica,1723.00,2191.00,2191.00,2629.00,2933.00,3318.00,3417.00,3423.00,3463.00,3512.00,3689.00,3559.00,3819.00,4199.00,4433.00,4733.00,5045.00,4440.00,4822.00,5242.00,5352.00,5143.00
Haiti,286.00,240.00,277.00,345.00,373.00,400.00,455.00,486.00,429.00,404.00,364.00,315.00,401.00,448.00,518.00,625.00,660.00,660.00,671.00,737.00,760.00,804.00
Colombia,1755.00,1995.00,2588.00,2946.00,3044.00,3291.00,2994.00,2584.00,2472.00,2396.00,2356.00,2245.00,2740.00,3386.00,3709.00,4674.00,5434.00,5148.00,6251.00,7228.00,7885.00,8028.00
United Kingdom,20546.00,18436.00,19752.00,21374.00,22498.00,24824.00,26294.00,26689.00,26411.00,25999.00,28333.00,32631.00,38398.00,40175.00,42674.00,48566.00,45284.00,37198.00,38324.00,41079.00,41377.00,42409.00
Canada,20813.00,20043.00,19864.00,20547.00,21188.00,21793.00,20947.00,22167.00,24085.00,23643.00,24051.00,28097.00,31906.00,36092.00,40194.00,44202.00,46235.00,40622.00,47297.00,51848.00,52561.00,52198.00
Iran,1887.00,2027.00,1922.00,1896.00,2011.00,1825.00,1733.00,1757.00,1664.00,1793.00,2189.00,2241.00,2650.00,3135.00,3647.00,4705.00,5476.00,5438.00,6300.00,7874.00,7711.00,6631.00
Poland,2458.00,2500.00,2875.00,3683.00,4144.00,4124.00,4524.00,4406.00,4466.00,4953.00,5167.00,5657.00,6593.00,7914.00,8921.00,11136.00,13762.00,11322.00,12424.00,13700.00,12956.00,13570.00
Pakistan,554.00,533.00,560.00,630.00,613.00,601.00,590.00,575.00,556.00,519.00,557.00,618.00,694.00,768.00,871.00,952.00,926.00,970.00,1026.00,1219.00,1210.00,1221.00
Guatemala,968.00,1031.00,1145.00,1261.00,1326.00,1458.00,1553.00,1431.00,1471.00,1562.00,1693.00,1743.00,1861.00,2064.00,2241.00,2472.00,2774.00,2617.00,2806.00,3167.00,3279.00,3432.00
Peru,1532.00,1450.00,1835.00,2155.00,2206.00,2299.00,2174.00,1947.00,1986.00,1983.00,2060.00,2181.00,2449.00,2755.00,3172.00,3612.00,4211.00,4154.00,5007.00,5755.00,6393.00,6564.00
