Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Mexico,213802,126561,111398,89932,163556,146833,131353,147402,173493,205560,218822,115585,175411,161445,173749,148640,189989,164920,139120,143446,146406,135028
Philippines,61022,63457,53535,50984,55868,49102,34416,30943,42343,52919,51040,45250,57846,60746,74606,72596,54030,60029,58173,57011,57327,54446
China,38907,65578,53985,35463,41720,41128,36854,32159,45585,56267,61082,40568,55494,69933,87307,76655,80271,64238,70863,87016,81784,71798
India,36755,40121,34921,34748,44838,38048,36414,30157,41903,70032,70823,50228,70151,84680,61369,65353,63352,57304,69162,69013,66434,68458
Vietnam,77735,59614,41345,41752,42053,38511,17635,20335,26553,35419,33563,22087,31524,32784,30691,28691,31497,29234,30632,34157,28304,27101
Dominican Republic,41969,45420,51189,38512,39599,27047,20355,17811,17465,21195,22515,26159,30506,27503,38068,28024,31879,49414,53870,46109,41566,41311
South Korea,19359,18026,16011,16047,18179,14226,14222,12795,15721,20532,20724,12382,19766,26562,24386,22405,26666,25859,22227,22824,20846,23166
Cuba,11791,13666,14727,17937,26438,33524,17304,14019,18960,27453,28182,9262,20488,36261,45614,29104,49500,38954,33573,36452,32820,32219
El Salvador,26191,26818,17644,11744,17902,17955,14577,14581,22543,31089,31060,28231,29807,21359,31782,21127,19659,19909,18806,18667,16256,18260
Jamaica,18915,17241,14349,16398,19084,17833,15123,14693,15949,15322,14835,13347,14430,18345,24976,19375,18477,21783,19825,19662,20705,19400
Haiti,11002,10094,13333,14021,18383,15053,13434,16514,22337,27031,20213,12293,14191,14524,22226,30405,26007,24280,22582,22111,22818,20351
Colombia,13201,12819,10847,10838,14275,12993,11801,9928,14427,16627,18758,14720,18846,25566,43144,33187,30213,27849,22406,22635,20931,21131
United Kingdom,19973,18783,16326,12427,13607,10679,8976,7647,13273,18278,16297,9527,14915,19800,17207,14545,14348,15748,12792,11572,12014,12984
Canada,15205,17156,16068,12932,15800,11583,10130,8782,16057,21752,19352,11350,15569,21878,18207,15495,15109,16140,13328,12800,12932,13181
Iran,13233,14841,11422,9201,11084,9635,7873,7176,8487,10425,12960,7230,10434,13887,13947,10460,13852,18553,14182,14822,12916,12863
Poland,25504,27846,28048,13824,15766,12035,8451,8773,10090,11769,12711,10510,14326,15351,17051,10355,8354,8754,7643,6863,6300,6430
Pakistan,10214,8927,8698,9774,12516,12959,13083,13485,14504,16393,13694,9415,12086,14926,17418,13492,19719,21555,18258,15546,14740,13251
Guatemala,10521,11870,7389,6213,8762,7780,7747,7294,9942,13496,16178,14386,18920,16818,24133,17908,16182,12187,10467,11092,10341,10224
Peru,9868,10447,9177,8066,12869,10843,10141,8414,9579,11062,11918,9409,11794,15676,21718,17699,15184,16957,14247,14064,12609,12564
Ukraine,14383,18316,21010,17432,21072,15691,7444,10102,15511,20914,21190,11633,14156,22745,17140,11001,10813,11223,8477,8292,7642,8193
Russia,8857,12079,15249,14560,19656,16622,11517,12321,16940,20313,20771,13935,17410,18055,13159,9426,11695,8238,6718,7944,9969,9753
Ecuador,7286,7324,5906,6397,8319,7779,6843,8882,7651,9665,10561,7066,8626,11608,17489,12248,11663,12128,11492,11103,9342,10591
Guyana,9064,8384,7662,7362,9489,7253,3960,3290,5719,8279,9938,6809,6351,9317,9552,5726,6823,6670,6749,6599,5683,5897
Nigeria,4551,4448,3950,6818,10219,7031,7730,6742,7831,8253,8105,7872,9374,10597,13459,12448,12475,15253,13376,11824,13575,13840
Germany,9888,7312,6992,6237,6743,5714,5440,5166,7565,9790,8888,5064,7099,9264,8436,7582,7091,7583,6888,6125,5812,6032
