Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Mexico,71.58582927,71.97782927,72.36385366,72.73978049,73.09890244,73.43714634,73.75141463,74.0392439,74.29973171,74.5334878,74.74470732,74.9375122,75.1154878,75.28209756,75.43878049,75.58792683,75.73246341,75.87741463,76.02678049,76.18565854,76.35409756,76.53265854
Philippines,65.64846341,65.79965854,65.93885366,66.07056098,66.1977561,66.32146341,66.44217073,66.56190244,66.68212195,66.80239024,66.92165854,67.03892683,67.15419512,67.2664878,67.3747561,67.47902439,67.58078049,67.68104878,67.78331707,67.89065854,68.00707317,68.13156098
China,69.33963415,69.50921951,69.69992683,69.92641463,70.19982927,70.52268293,70.89046341,71.29712195,71.73046341,72.17578049,72.61487805,73.03312195,73.41995122,73.76695122,74.07170732,74.34043902,74.58326829,74.80326829,75.00741463,75.20217073,75.39292683,75.58514634
India,58.94507317,59.45292683,59.95482927,60.44436585,60.91560976,61.36956098,61.80721951,62.22707317,62.63063415,63.01985366,63.39919512,63.77453659,64.14780488,64.52387805,64.90809756,65.30043902,65.69943902,66.10263415,66.50614634,66.90417073,67.28987805,67.66041463
Vietnam,70.99546341,71.28241463,71.5684878,71.85221951,72.13156098,72.4035122,72.6645122,72.91353659,73.14858537,73.36958537,73.57656098,73.77253659,73.95902439,74.13812195,74.31236585,74.48385366,74.65309756,74.82260976,74.99036585,75.15680488,75.31939024,75.477
Dominican Republic,68.83712195,69.19063415,69.48326829,69.7205122,69.91634146,70.09173171,70.26365854,70.44214634,70.63373171,70.83892683,71.05180488,71.26682927,71.48353659,71.70039024,71.91682927,72.13131707,72.34231707,72.54831707,72.74980488,72.94529268,73.13531707,73.31990244
South Korea,72.2004878,72.68195122,73.04317073,73.39439024,73.83121951,74.24780488,74.6802439,75.37341463,75.83536585,76.34195122,76.83902439,77.2502439,77.84658537,78.43268293,78.96926829,79.3495122,79.83268293,80.29731707,80.55121951,80.96707317,81.21341463,81.70512195
Cuba,74.80329268,74.95892683,75.16397561,75.409,75.67563415,75.94197561,76.19307317,76.42587805,76.64480488,76.86521951,77.10246341,77.36395122,77.64468293,77.93214634,78.20595122,78.44919512,78.6505122,78.81097561,78.93563415,79.0395122,79.14160976,79.25639024
El Salvador,65.57797561,66.22282927,66.76304878,67.20519512,67.56482927,67.87363415,68.15780488,68.43541463,68.71704878,69.00570732,69.29787805,69.58953659,69.88273171,70.17892683,70.47917073,70.78046341,71.08078049,71.37814634,71.67060976,71.95617073,72.23185366,72.49814634
Jamaica,71.96273171,71.94365854,71.93536585,71.94239024,71.96819512,72.01570732,72.08685366,72.18465854,72.31317073,72.47695122,72.67502439,72.90292683,73.15560976,73.42802439,73.71560976,74.00929268,74.30195122,74.58404878,74.8474878,75.0862439,75.29982927,75.4882439
