Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Mexico,3.099999905,3.200000048,4.199999809,6.900000095,5.199999809,4.099999905,3.599999905,2.5,2.599999905,2.5,2.900000095,3,3.700000048,3.5,3.200000048,3.400000095,3.5,5.199999809,5.199999809,5.300000191,4.900000095,4.900000095
Philippines,8.600000381,8.899999619,8.399999619,8.399999619,7.400000095,7.900000095,9.399999619,9.399999619,11.19999981,11,11.5,11.19999981,11.89999962,7.699999809,8,7.400000095,7.300000191,7.5,7.300000191,7,7,7.099999905
China,4.400000095,4.300000191,4.300000191,4.5,4.599999905,4.599999905,4.699999809,4.699999809,4.5,4.5,4.400000095,4.300000191,4.300000191,4.099999905,4,3.799999952,4.400000095,4.400000095,4.199999809,4.300000191,4.5,4.599999905
India,4.199999809,4.300000191,3.700000048,4,4,4.199999809,4.099999905,4.400000095,4.300000191,4,4.300000191,3.900000095,3.900000095,4.400000095,4.300000191,3.700000048,4.099999905,3.900000095,3.5,3.5,3.599999905,3.599999905
Vietnam,2.700000048,3,2.5,2.099999905,1.899999976,2.900000095,2.299999952,2.299999952,2.299999952,2.799999952,2.099999905,2.299999952,2.099999905,2.099999905,2.299999952,2.299999952,2.400000095,2.599999905,2.599999905,2,1.799999952,2.200000048
Dominican Republic,20.70000076,19.89999962,16.20000076,15.80000019,16.70000076,15.60000038,14.39999962,13.80000019,14.19999981,15.69999981,16.10000038,16.70000076,18.39999962,18,16.39999962,15.69999981,14.19999981,14.89999962,12.39999962,14.69999981,14.69999981,15
South Korea,2.5,2.900000095,2.5,2.099999905,2,2.599999905,7,6.300000191,4.400000095,4,3.299999952,3.599999905,3.700000048,3.700000048,3.400000095,3.200000048,3.200000048,3.599999905,3.700000048,3.400000095,3.200000048,3.099999905
Cuba,6,3.5,3.599999905,8.300000191,7.599999905,7.099999905,6.199999809,6.300000191,5.400000095,4.099999905,3.299999952,2.299999952,1.899999976,1.899999976,1.899999976,1.799999952,1.600000024,1.700000048,2.5,3.200000048,3.200000048,3.200000048
El Salvador,8,9.899999619,7.699999809,7.599999905,7.699999809,8,7.300000191,7,7,7,6.199999809,6.900000095,6.800000191,7.199999809,6.599999905,6.300000191,5.900000095,7.300000191,7,6.599999905,6.099999905,5.900000095
Jamaica,15.39999962,16.29999924,15.39999962,16.20000076,16,16.5,15.5,15.69999981,15.5,15,14.30000019,11.69999981,11.39999962,10.89999962,9.600000381,9.399999619,10.60000038,11.39999962,12.39999962,12.69999981,13.69999981,15
Haiti,11.60000038,11.80000019,12.39999962,10.30000019,10.80000019,10.89999962,10.89999962,7.199999809,7.400000095,7.599999905,7.599999905,7.5,8,7.400000095,7.300000191,7.199999809,7.400000095,7.099999905,8.100000381,6.800000191,7,6.800000191
Colombia,10,12.5,12,12.39999962,13.69999981,11.60000038,13.10000038,14.80000019,16.60000038,15.10000038,15.80000019,14.10000038,14.30000019,12,11.69999981,11.19999981,11.10000038,11.80000019,12,11.10000038,10.60000038,9.600000381
United Kingdom,9.899999619,10.5,9.800000191,8.699999809,8.300000191,7.199999809,6.199999809,6,5.599999905,4.800000191,5.199999809,4.900000095,4.699999809,4.800000191,5.5,5.400000095,5.400000095,7.800000191,7.900000095,7.800000191,8,7.5
Canada,11.19999981,11.39999962,10.39999962,9.5,9.600000381,9.100000381,8.300000191,7.599999905,6.800000191,7.199999809,7.699999809,7.599999905,7.199999809,6.699999809,6.300000191,6,6.099999905,8.300000191,8,7.400000095,7.199999809,7.099999905
Iran,12.39999962,12.19999981,12,11.89999962,13.10000038,11.5,12.10000038,11.30000019,12,12.80000019,12.80000019,12.19999981,10.30000019,12.10000038,11.60000038,10.60000038,10.5,12,13.5,13.30000019,13.10000038,12.89999962
Poland,13.30000019,14,14.39999962,13.30000019,12.39999962,11.19999981,10.69999981,12.5,16.10000038,18.20000076,19.89999962,19.60000038,19,17.70000076,13.80000019,9.600000381,7.099999905,8.199999809,9.600000381,9.600000381,10.10000038,10.39999962
Pakistan,5.199999809,4.300000191,4.300000191,5,5.300000191,5.800000191,5.699999809,6.099999905,7.199999809,7.400000095,7.800000191,7.699999809,7.400000095,7.099999905,6.099999905,5.099999905,5,5.199999809,5.099999905,5.099999905,5.099999905,5.099999905
Guatemala,3.299999952,2.700000048,2.599999905,3.5,3.5,3.900000095,3.200000048,1.899999976,1.399999976,1.299999952,3.099999905,2.799999952,3.099999905,2.400000095,1.799999952,2.5,2.799999952,3.200000048,3.700000048,4.099999905,2.900000095,3
Peru,4.900000095,7.099999905,5.400000095,5.5,6.5,5.300000191,4.900000095,6.300000191,6.400000095,5.099999905,5.699999809,6.099999905,5.199999809,5.199999809,4.599999905,4.5,4.5,4.400000095,4,3.900000095,3.599999905,4
Ukraine,7.5,8.699999809,7,5.599999905,7.599999905,8.899999619,11.30000019,11.60000038,11.60000038,10.89999962,9.600000381,9.100000381,8.600000381,7.199999809,6.800000191,6.400000095,6.400000095,8.800000191,8.100000381,7.900000095,7.5,7.199999809
Russia,5.199999809,5.900000095,8.100000381,9.399999619,9.699999809,11.80000019,13.30000019,13,10.60000038,9,7.900000095,8.199999809,7.800000191,7.099999905,7.099999905,6,6.199999809,8.300000191,7.300000191,6.5,5.5,5.5
Ecuador,4.699999809,4.699999809,7.699999809,4.699999809,4.699999809,7.5,5.5,6.300000191,7.199999809,8.399999619,9.100000381,9.300000191,6.699999809,6.599999905,6.300000191,5,6,6.5,5,4.199999809,4.099999905,4.199999809
Guyana,11.89999962,12,11.89999962,11.80000019,11.69999981,11.60000038,11.5,11.5,11.5,11.69999981,11.89999962,12.30000019,11.89999962,12.60000038,11.19999981,10.80000019,11.80000019,11.5,11.30000019,11.10000038,11.19999981,11.10000038
Nigeria,7.400000095,7.400000095,7.400000095,7.5,7.5,7.5,7.5,7.5,7.599999905,7.599999905,7.699999809,7.599999905,7.699999809,7.599999905,7.599999905,7.599999905,7.599999905,7.599999905,7.599999905,7.599999905,7.5,7.5
Germany,6.599999905,7.900000095,8.399999619,8.100000381,8.899999619,9.800000191,9.199999809,8.399999619,7.699999809,7.800000191,8.600000381,9.300000191,10.30000019,11.10000038,10.30000019,8.600000381,7.5,7.699999809,7.099999905,5.900000095,5.400000095,5.300000191
